Gene	Cell_Type
CTRB1	Acinar_cells
KLK1	Acinar_cells
RBPJL	Acinar_cells
PTF1A	Acinar_cells
TRY4	Acinar_cells
CELA3A	Acinar_cells
PRSS1	Acinar_cells
AMY2A2	Acinar_cells
SPINK1	Acinar_cells
ZG16	Acinar_cells
CEL	Acinar_cells
CELA2A	Acinar_cells
AMY2A3	Acinar_cells
CPB1	Acinar_cells
CELA1	Acinar_cells
AMY2A5	Acinar_cells
RNASE1	Acinar_cells
AMY2B	Acinar_cells
CPA2	Acinar_cells
CPA1	Acinar_cells
CELA3B	Acinar_cells
PNLIP	Acinar_cells
PLA2G1B	Acinar_cells
PRSS2	Acinar_cells
CLPS	Acinar_cells
SYCN	Acinar_cells
PNLIPRP1	Acinar_cells
CTRC	Acinar_cells
REG3A	Acinar_cells
PRSS3	Acinar_cells
CFB	Acinar_cells
GDF15	Acinar_cells
MUC1	Acinar_cells
DUOXA2	Acinar_cells
OLFM4	Acinar_cells
GSTA1	Acinar_cells
LGALS2	Acinar_cells
PDZK1IP1	Acinar_cells
RARRES2	Acinar_cells
CXCL17	Acinar_cells
UBD	Acinar_cells
GSTA2	Acinar_cells
ANPEP	Acinar_cells
ANGPTL4	Acinar_cells
ALDOB	Acinar_cells
CEBPA	Adipocyte_progenitor_cells
EGFR	Adipocyte_progenitor_cells
FGF10	Adipocyte_progenitor_cells
GSC	Adipocyte_progenitor_cells
MMP3	Adipocyte_progenitor_cells
PPARG	Adipocyte_progenitor_cells
TWIST2	Adipocyte_progenitor_cells
GATA3	Adipocyte_progenitor_cells
GLI1	Adipocyte_progenitor_cells
SMO	Adipocyte_progenitor_cells
STAB1	Adipocyte_progenitor_cells
WISP2	Adipocyte_progenitor_cells
WT1	Adipocyte_progenitor_cells
SCARA5	Adipocyte_progenitor_cells
HOXC8	Adipocyte_progenitor_cells
TCF7L1	Adipocyte_progenitor_cells
HOXC9	Adipocyte_progenitor_cells
HOXC6	Adipocyte_progenitor_cells
HOXC4	Adipocyte_progenitor_cells
SULT1E1	Adipocyte_progenitor_cells
EBF2	Adipocyte_progenitor_cells
NRG4	Adipocyte_progenitor_cells
SLC36A2	Adipocytes
P2RX5	Adipocytes
LEP	Adipocytes
UCP1	Adipocytes
CIDEA	Adipocytes
PRDM16	Adipocytes
LHX8	Adipocytes
EPSTI1	Adipocytes
MC2R	Adipocytes
FFAR2	Adipocytes
PIKFYVE	Adipocytes
CYP11B2	Adipocytes
TLR2	Adipocytes
TLR4	Adipocytes
ADRB1	Adipocytes
ADRB2	Adipocytes
ADRB3	Adipocytes
FABP4	Adipocytes
TNFRSF9	Adipocytes
TBX1	Adipocytes
TMEM26	Adipocytes
TCF21	Adipocytes
ADIPOQ	Adipocytes
CFD	Adipocytes
ACVR1C	Adipocytes
SLC2A4	Adipocytes
LPIN1	Adipocytes
PLIN1	Adipocytes
PCK1	Adipocytes
PPARG	Adipocytes
RETN	Adipocytes
MEST	Adipocytes
ADM2	Adipocytes
STAT6	Adipocytes
TFE3	Adipocytes
CPPED1	Adipocytes
APPL2	Adipocytes
APOL6	Adipocytes
PXMP2	Adipocytes
AGT	Adipocytes
SLC1A5	Adipocytes
ACSL1	Adipocytes
CAR3	Adipocytes
BCAT2	Adipocytes
PNPLA2	Adipocytes
CIDEC	Adipocytes
CDO1	Adipocytes
APOC1	Adipocytes
MMP2	Adipocytes
POSTN	Adipocytes
LOX	Adipocytes
COL6A2	Adipocytes
ZBTB16	Adipocytes
GULP1	Adipocytes
FZD4	Adipocytes
TRIP10	Adipocytes
FGF7	Adipocytes
MAOB	Adipocytes
SOCS1	Adipocytes
ARNT	Adipocytes
SULT1A1	Adipocytes
NNMT	Adipocytes
AOC3	Adipocytes
H6PD	Adipocytes
CYP27A1	Adipocytes
EBF2	Adipocytes
MNDA	Adipocytes
HSD11B1	Adipocytes
AR	Adipocytes
GDF10	Adipocytes
CYP1B1	Adipocytes
COL5A3	Adipocytes
STEAP4	Adipocytes
CCL11	Adipocytes
NR1H3	Adipocytes
DEPTOR	Adipocytes
CYTH3	Adipocytes
FMO1	Adipocytes
ACADSB	Adipocytes
XDH	Adipocytes
RSPO3	Adipocytes
PTGES	Adipocytes
CREB3L1	Adipocytes
ANGPTL2	Adipocytes
ADAM12	Adipocytes
ADH1	Adipocytes
LBP	Adipocytes
NMB	Adipocytes
RARRES2	Adipocytes
FST	Adipocytes
EGFR	Adipocytes
CPXM1	Adipocytes
C3	Adipocytes
ADAMTS5	Adipocytes
TIMP1	Adipocytes
METRN	Adipocytes
METRNL	Adipocytes
MYO1C	Adipocytes
NQO1	Adipocytes
SYAP1	Adipocytes
CRNDE	Adipocytes
AQP5	Adipocytes
TSPO	Adipocytes
AZGP1	Adipocytes
LRP1	Adipocytes
PDE3B	Adipocytes
LGALS12	Adipocytes
SERPINF1	Adipocytes
CPT1B	Adipocytes
ELOVL3	Adipocytes
PPARGC1A	Adipocytes
MPZL1	Adipocytes
CITED1	Adipocytes
DPT	Adipocytes
HOXC9	Adipocytes
ESM1	Adipocytes
TH	Adrenergic_neurons
DDC	Adrenergic_neurons
DBH	Adrenergic_neurons
PNMT	Adrenergic_neurons
SLC18A2	Adrenergic_neurons
NPFF	Adrenergic_neurons
SLC12A7	Adrenergic_neurons
SYT1	Adrenergic_neurons
AQP1	Airway_epithelial_cells
ADH7	Airway_epithelial_cells
CDH1	Airway_epithelial_cells
SEC14L3	Airway_epithelial_cells
MUC5B	Airway_goblet_cells
MUC16	Airway_goblet_cells
LTF	Airway_goblet_cells
SCGB3A1	Airway_goblet_cells
DCPP1	Airway_goblet_cells
DMBT1	Airway_goblet_cells
WFDC18	Airway_goblet_cells
DCPP3	Airway_goblet_cells
LIPF	Airway_goblet_cells
DCPP2	Airway_goblet_cells
MSLN	Airway_goblet_cells
AGR2	Airway_goblet_cells
GP2	Airway_goblet_cells
PIGR	Airway_goblet_cells
TFF2	Airway_goblet_cells
AQP5	Airway_goblet_cells
CBR2	Airway_goblet_cells
QSOX1	Airway_goblet_cells
FXYD3	Airway_goblet_cells
SEC23B	Airway_goblet_cells
CEACAM1	Airway_goblet_cells
GOLPH3	Airway_goblet_cells
GGH	Airway_goblet_cells
GALNT5	Airway_goblet_cells
GALNT6	Airway_goblet_cells
MUC5AC	Airway_goblet_cells
MUC4	Airway_goblet_cells
MUC20	Airway_goblet_cells
SPDEF	Airway_goblet_cells
DUSP4	Airway_goblet_cells
NOG	Airway_smooth_muscle_cells
ACTA2	Airway_smooth_muscle_cells
FOXF1	Airway_smooth_muscle_cells
GATA5	Airway_smooth_muscle_cells
GCG	Alpha_cells
TTR	Alpha_cells
GLP1R	Alpha_cells
ARX	Alpha_cells
POU3F4	Alpha_cells
NKX2-2	Alpha_cells
RESP18	Alpha_cells
PYY	Alpha_cells
PCSK2	Alpha_cells
SLC38A5	Alpha_cells
TM4SF4	Alpha_cells
CRYBA2	Alpha_cells
NKX6-1	Alpha_cells
KCNK16	Alpha_cells
PCSK1	Alpha_cells
PRRG2	Alpha_cells
IRX2	Alpha_cells
ALDH1A1	Alpha_cells
PEMT	Alpha_cells
CHGA	Alpha_cells
SMIM24	Alpha_cells
F10	Alpha_cells
SCGN	Alpha_cells
SLC30A8	Alpha_cells
SH3GL2	Alpha_cells
FAP	Alpha_cells
DPP4	Alpha_cells
GPR119	Alpha_cells
MAFB	Alpha_cells
PAX6	Alpha_cells
NEUROD1	Alpha_cells
LOXL4	Alpha_cells
PLCE1	Alpha_cells
GC	Alpha_cells
KLHL41	Alpha_cells
FEV	Alpha_cells
PTGER3	Alpha_cells
RFX6	Alpha_cells
SMARCA1	Alpha_cells
PGR	Alpha_cells
LDB2	Alpha_cells
IRX1	Alpha_cells
UCP2	Alpha_cells
FXYD5	Alpha_cells
RGS4	Alpha_cells
GLS	Alpha_cells
CHIL3	Alveolar_macrophages
PLET1	Alveolar_macrophages
IL1B	Alveolar_macrophages
WFDC21	Alveolar_macrophages
BGLAP3	Alveolar_macrophages
CCL3	Alveolar_macrophages
G0S2	Alveolar_macrophages
CXCL2	Alveolar_macrophages
MCEMP1	Alveolar_macrophages
KLHDC4	Alveolar_macrophages
BCL2A1D	Alveolar_macrophages
GDA	Alveolar_macrophages
CLEC7A	Alveolar_macrophages
BCL2A1B	Alveolar_macrophages
ITGAX	Alveolar_macrophages
TNFAIP2	Alveolar_macrophages
CD36	Alveolar_macrophages
GAL	Alveolar_macrophages
CAR4	Alveolar_macrophages
EAR2	Alveolar_macrophages
TLR2	Alveolar_macrophages
GPNMB	Alveolar_macrophages
MRC1	Alveolar_macrophages
LYZ1	Alveolar_macrophages
MARCO	Alveolar_macrophages
CSF2RB	Alveolar_macrophages
MPP1	Alveolar_macrophages
TRIM25	Alveolar_macrophages
EAR1	Alveolar_macrophages
OLR1	Alveolar_macrophages
S100A4	Alveolar_macrophages
GNGT2	Alveolar_macrophages
SIGLECF	Alveolar_macrophages
AGA	Anterior_pituitary_gland_cells
ANGPT1	Anterior_pituitary_gland_cells
CHGA	Anterior_pituitary_gland_cells
CPEB4	Anterior_pituitary_gland_cells
GH	Anterior_pituitary_gland_cells
IGSF1	Anterior_pituitary_gland_cells
MEST	Anterior_pituitary_gland_cells
NKTR	Anterior_pituitary_gland_cells
NUCB2	Anterior_pituitary_gland_cells
PITX2	Anterior_pituitary_gland_cells
POU1F1	Anterior_pituitary_gland_cells
PRL	Anterior_pituitary_gland_cells
RAB27A	Anterior_pituitary_gland_cells
RCN3	Anterior_pituitary_gland_cells
SEZ6L2	Anterior_pituitary_gland_cells
SIX6	Anterior_pituitary_gland_cells
TBRG1	Anterior_pituitary_gland_cells
TMEM130	Anterior_pituitary_gland_cells
POMC	Anterior_pituitary_gland_cells
GMPPA	Anterior_pituitary_gland_cells
TRIM30B	Anterior_pituitary_gland_cells
GNB3	Anterior_pituitary_gland_cells
HEPACAM2	Anterior_pituitary_gland_cells
ASB4	Anterior_pituitary_gland_cells
RAX	Anterior_pituitary_gland_cells
NKX2-1	Anterior_pituitary_gland_cells
FGF10	Anterior_pituitary_gland_cells
FSHB	Anterior_pituitary_gland_cells
PCSK1	Anterior_pituitary_gland_cells
GNRHR	Anterior_pituitary_gland_cells
PITX1	Anterior_pituitary_gland_cells
