Gene	Cell_Type
4,00 TRY	Acinar_cells
ALDOB	Acinar_cells
AMY2A2	Acinar_cells
AMY2A3	Acinar_cells
AMY2A5	Acinar_cells
AMY2B	Acinar_cells
ANGPTL4	Acinar_cells
ANPEP	Acinar_cells
CEL	Acinar_cells
CELA1	Acinar_cells
CELA2A	Acinar_cells
CELA3A	Acinar_cells
CELA3B	Acinar_cells
CFB	Acinar_cells
CLPS	Acinar_cells
CPA1	Acinar_cells
CPA2	Acinar_cells
CPB1	Acinar_cells
CTRB1	Acinar_cells
CTRC	Acinar_cells
CXCL17	Acinar_cells
DUOXA2	Acinar_cells
GDF15	Acinar_cells
GSTA1	Acinar_cells
GSTA2	Acinar_cells
KLK1	Acinar_cells
LGALS2	Acinar_cells
MUC1	Acinar_cells
OLFM4	Acinar_cells
PDZK1IP1	Acinar_cells
PLA2G1B	Acinar_cells
PNLIP	Acinar_cells
PNLIPRP1	Acinar_cells
PRSS1	Acinar_cells
PRSS2	Acinar_cells
PRSS3	Acinar_cells
PTF1A	Acinar_cells
RARRES2	Acinar_cells
RBPJL	Acinar_cells
REG3A	Acinar_cells
RNASE1	Acinar_cells
SPINK1	Acinar_cells
SYCN	Acinar_cells
UBD	Acinar_cells
ZG16	Acinar_cells
CEBPA	Adipocyte_progenitor_cells
EBF2	Adipocyte_progenitor_cells
EGFR	Adipocyte_progenitor_cells
FGF10	Adipocyte_progenitor_cells
GATA3	Adipocyte_progenitor_cells
GLI1	Adipocyte_progenitor_cells
GSC	Adipocyte_progenitor_cells
HOXC4	Adipocyte_progenitor_cells
HOXC6	Adipocyte_progenitor_cells
HOXC8	Adipocyte_progenitor_cells
HOXC9	Adipocyte_progenitor_cells
MMP3	Adipocyte_progenitor_cells
NRG4	Adipocyte_progenitor_cells
PPARG	Adipocyte_progenitor_cells
SCARA5	Adipocyte_progenitor_cells
SMO	Adipocyte_progenitor_cells
STAB1	Adipocyte_progenitor_cells
SULT1E1	Adipocyte_progenitor_cells
TCF7L1	Adipocyte_progenitor_cells
TWIST2	Adipocyte_progenitor_cells
WISP2	Adipocyte_progenitor_cells
WT1	Adipocyte_progenitor_cells
ACADSB	Adipocytes
ACSL1	Adipocytes
ACVR1C	Adipocytes
ADAM12	Adipocytes
ADAMTS5	Adipocytes
ADH1	Adipocytes
ADIPOQ	Adipocytes
ADM2	Adipocytes
ADRB1	Adipocytes
ADRB2	Adipocytes
ADRB3	Adipocytes
AGT	Adipocytes
ANGPTL2	Adipocytes
AOC3	Adipocytes
APOC1	Adipocytes
APOL6	Adipocytes
APPL2	Adipocytes
AQP5	Adipocytes
AR	Adipocytes
ARNT	Adipocytes
AZGP1	Adipocytes
BCAT2	Adipocytes
C3	Adipocytes
CAR3	Adipocytes
CCL11	Adipocytes
CDO1	Adipocytes
CFD	Adipocytes
CIDEA	Adipocytes
CIDEC	Adipocytes
CITED1	Adipocytes
COL5A3	Adipocytes
COL6A2	Adipocytes
CPPED1	Adipocytes
CPT1B	Adipocytes
CPXM1	Adipocytes
CREB3L1	Adipocytes
CRNDE	Adipocytes
CYP11B2	Adipocytes
CYP1B1	Adipocytes
CYP27A1	Adipocytes
CYTH3	Adipocytes
DEPTOR	Adipocytes
DPT	Adipocytes
EBF2	Adipocytes
EGFR	Adipocytes
ELOVL3	Adipocytes
EPSTI1	Adipocytes
ESM1	Adipocytes
FABP4	Adipocytes
FFAR2	Adipocytes
FGF7	Adipocytes
FMO1	Adipocytes
FST	Adipocytes
FZD4	Adipocytes
GDF10	Adipocytes
GULP1	Adipocytes
H6PD	Adipocytes
HOXC9	Adipocytes
HSD11B1	Adipocytes
LBP	Adipocytes
LEP	Adipocytes
LGALS12	Adipocytes
LHX8	Adipocytes
LOX	Adipocytes
LPIN1	Adipocytes
LRP1	Adipocytes
MAOB	Adipocytes
MC2R	Adipocytes
MEST	Adipocytes
METRN	Adipocytes
METRNL	Adipocytes
MMP2	Adipocytes
MNDA	Adipocytes
MPZL1	Adipocytes
MYO1C	Adipocytes
NMB	Adipocytes
NNMT	Adipocytes
NQO1	Adipocytes
NR1H3	Adipocytes
P2RX5	Adipocytes
PCK1	Adipocytes
PDE3B	Adipocytes
PIKFYVE	Adipocytes
PLIN1	Adipocytes
PNPLA2	Adipocytes
POSTN	Adipocytes
PPARG	Adipocytes
PPARGC1A	Adipocytes
PRDM16	Adipocytes
PTGES	Adipocytes
PXMP2	Adipocytes
RARRES2	Adipocytes
RETN	Adipocytes
RSPO3	Adipocytes
SERPINF1	Adipocytes
SLC1A5	Adipocytes
SLC2A4	Adipocytes
SLC36A2	Adipocytes
SOCS1	Adipocytes
STAT6	Adipocytes
STEAP4	Adipocytes
SULT1A1	Adipocytes
SYAP1	Adipocytes
TBX1	Adipocytes
TCF21	Adipocytes
TFE3	Adipocytes
TIMP1	Adipocytes
TLR2	Adipocytes
TLR4	Adipocytes
TMEM26	Adipocytes
TNFRSF9	Adipocytes
TRIP10	Adipocytes
TSPO	Adipocytes
UCP1	Adipocytes
XDH	Adipocytes
ZBTB16	Adipocytes
DBH	Adrenergic_neurons
DDC	Adrenergic_neurons
NPFF	Adrenergic_neurons
PNMT	Adrenergic_neurons
SLC12A7	Adrenergic_neurons
SLC18A2	Adrenergic_neurons
SYT1	Adrenergic_neurons
TH	Adrenergic_neurons
ADH7	Airway_epithelial_cells
AQP1	Airway_epithelial_cells
CDH1	Airway_epithelial_cells
SEC14L3	Airway_epithelial_cells
AGR2	Airway_goblet_cells
AQP5	Airway_goblet_cells
CBR2	Airway_goblet_cells
CEACAM1	Airway_goblet_cells
DCPP1	Airway_goblet_cells
DCPP2	Airway_goblet_cells
DCPP3	Airway_goblet_cells
DMBT1	Airway_goblet_cells
DUSP4	Airway_goblet_cells
FXYD3	Airway_goblet_cells
GALNT5	Airway_goblet_cells
GALNT6	Airway_goblet_cells
GGH	Airway_goblet_cells
GOLPH3	Airway_goblet_cells
GP2	Airway_goblet_cells
LIPF	Airway_goblet_cells
LTF	Airway_goblet_cells
MSLN	Airway_goblet_cells
MUC16	Airway_goblet_cells
MUC20	Airway_goblet_cells
MUC4	Airway_goblet_cells
MUC5AC	Airway_goblet_cells
MUC5B	Airway_goblet_cells
PIGR	Airway_goblet_cells
QSOX1	Airway_goblet_cells
SCGB3A1	Airway_goblet_cells
SEC23B	Airway_goblet_cells
SPDEF	Airway_goblet_cells
TFF2	Airway_goblet_cells
WFDC18	Airway_goblet_cells
ACTA2	Airway_smooth_muscle_cells
FOXF1	Airway_smooth_muscle_cells
GATA5	Airway_smooth_muscle_cells
NOG	Airway_smooth_muscle_cells
10,00 F	Alpha_cells
ALDH1A1	Alpha_cells
ARX	Alpha_cells
CHGA	Alpha_cells
CRYBA2	Alpha_cells
DPP4	Alpha_cells
FAP	Alpha_cells
FEV	Alpha_cells
FXYD5	Alpha_cells
GC	Alpha_cells
GCG	Alpha_cells
GLP1R	Alpha_cells
GLS	Alpha_cells
GPR119	Alpha_cells
IRX1	Alpha_cells
IRX2	Alpha_cells
KCNK16	Alpha_cells
KLHL41	Alpha_cells
LDB2	Alpha_cells
LOXL4	Alpha_cells
MAFB	Alpha_cells
NEUROD1	Alpha_cells
NKX2-2	Alpha_cells
NKX6-1	Alpha_cells
PAX6	Alpha_cells
PCSK1	Alpha_cells
PCSK2	Alpha_cells
PEMT	Alpha_cells
PGR	Alpha_cells
PLCE1	Alpha_cells
POU3F4	Alpha_cells
PRRG2	Alpha_cells
PTGER3	Alpha_cells
PYY	Alpha_cells
RESP18	Alpha_cells
RFX6	Alpha_cells
RGS4	Alpha_cells
SCGN	Alpha_cells
SH3GL2	Alpha_cells
SLC30A8	Alpha_cells
SLC38A5	Alpha_cells
SMARCA1	Alpha_cells
SMIM24	Alpha_cells
TM4SF4	Alpha_cells
TTR	Alpha_cells
UCP2	Alpha_cells
BCL2A1B	Alveolar_macrophages
BCL2A1D	Alveolar_macrophages
BGLAP3	Alveolar_macrophages
CAR4	Alveolar_macrophages
CCL3	Alveolar_macrophages
CD36	Alveolar_macrophages
CHIL3	Alveolar_macrophages
CLEC7A	Alveolar_macrophages
CSF2RB	Alveolar_macrophages
CXCL2	Alveolar_macrophages
EAR1	Alveolar_macrophages
EAR2	Alveolar_macrophages
G0S2	Alveolar_macrophages
GAL	Alveolar_macrophages
GDA	Alveolar_macrophages
GNGT2	Alveolar_macrophages
GPNMB	Alveolar_macrophages
IL1B	Alveolar_macrophages
ITGAX	Alveolar_macrophages
KLHDC4	Alveolar_macrophages
LYZ1	Alveolar_macrophages
MARCO	Alveolar_macrophages
