Gene	Cell Type
CTRB1	Acinar cells
KLK1	Acinar cells
RBPJL	Acinar cells
PTF1A	Acinar cells
TRY4	Acinar cells
CELA3A	Acinar cells
PRSS1	Acinar cells
AMY2A2	Acinar cells
SPINK1	Acinar cells
ZG16	Acinar cells
CEL	Acinar cells
CELA2A	Acinar cells
AMY2A3	Acinar cells
CPB1	Acinar cells
CELA1	Acinar cells
AMY2A5	Acinar cells
RNASE1	Acinar cells
AMY2B	Acinar cells
CPA2	Acinar cells
CPA1	Acinar cells
CELA3B	Acinar cells
PNLIP	Acinar cells
PLA2G1B	Acinar cells
PRSS2	Acinar cells
CLPS	Acinar cells
SYCN	Acinar cells
PNLIPRP1	Acinar cells
CTRC	Acinar cells
REG3A	Acinar cells
PRSS3	Acinar cells
CFB	Acinar cells
GDF15	Acinar cells
MUC1	Acinar cells
DUOXA2	Acinar cells
OLFM4	Acinar cells
GSTA1	Acinar cells
LGALS2	Acinar cells
PDZK1IP1	Acinar cells
RARRES2	Acinar cells
CXCL17	Acinar cells
UBD	Acinar cells
GSTA2	Acinar cells
ANPEP	Acinar cells
ANGPTL4	Acinar cells
ALDOB	Acinar cells
CEBPA	Adipocyte progenitor cells
EGFR	Adipocyte progenitor cells
FGF10	Adipocyte progenitor cells
GSC	Adipocyte progenitor cells
MMP3	Adipocyte progenitor cells
PPARG	Adipocyte progenitor cells
TWIST2	Adipocyte progenitor cells
GATA3	Adipocyte progenitor cells
GLI1	Adipocyte progenitor cells
SMO	Adipocyte progenitor cells
STAB1	Adipocyte progenitor cells
WISP2	Adipocyte progenitor cells
WT1	Adipocyte progenitor cells
SCARA5	Adipocyte progenitor cells
HOXC8	Adipocyte progenitor cells
TCF7L1	Adipocyte progenitor cells
HOXC9	Adipocyte progenitor cells
HOXC6	Adipocyte progenitor cells
HOXC4	Adipocyte progenitor cells
SULT1E1	Adipocyte progenitor cells
EBF2	Adipocyte progenitor cells
NRG4	Adipocyte progenitor cells
SLC36A2	Adipocytes
P2RX5	Adipocytes
LEP	Adipocytes
UCP1	Adipocytes
CIDEA	Adipocytes
PRDM16	Adipocytes
LHX8	Adipocytes
EPSTI1	Adipocytes
MC2R	Adipocytes
FFAR2	Adipocytes
PIKFYVE	Adipocytes
CYP11B2	Adipocytes
TLR2	Adipocytes
TLR4	Adipocytes
ADRB1	Adipocytes
ADRB2	Adipocytes
ADRB3	Adipocytes
FABP4	Adipocytes
TNFRSF9	Adipocytes
TBX1	Adipocytes
TMEM26	Adipocytes
TCF21	Adipocytes
ADIPOQ	Adipocytes
CFD	Adipocytes
ACVR1C	Adipocytes
SLC2A4	Adipocytes
LPIN1	Adipocytes
PLIN1	Adipocytes
PCK1	Adipocytes
PPARG	Adipocytes
RETN	Adipocytes
MEST	Adipocytes
ADM2	Adipocytes
STAT6	Adipocytes
TFE3	Adipocytes
CPPED1	Adipocytes
APPL2	Adipocytes
APOL6	Adipocytes
PXMP2	Adipocytes
AGT	Adipocytes
SLC1A5	Adipocytes
ACSL1	Adipocytes
CAR3	Adipocytes
BCAT2	Adipocytes
PNPLA2	Adipocytes
CIDEC	Adipocytes
CDO1	Adipocytes
APOC1	Adipocytes
MMP2	Adipocytes
POSTN	Adipocytes
LOX	Adipocytes
COL6A2	Adipocytes
ZBTB16	Adipocytes
GULP1	Adipocytes
FZD4	Adipocytes
TRIP10	Adipocytes
FGF7	Adipocytes
MAOB	Adipocytes
SOCS1	Adipocytes
ARNT	Adipocytes
SULT1A1	Adipocytes
NNMT	Adipocytes
AOC3	Adipocytes
H6PD	Adipocytes
CYP27A1	Adipocytes
EBF2	Adipocytes
MNDA	Adipocytes
HSD11B1	Adipocytes
AR	Adipocytes
GDF10	Adipocytes
CYP1B1	Adipocytes
COL5A3	Adipocytes
STEAP4	Adipocytes
CCL11	Adipocytes
NR1H3	Adipocytes
DEPTOR	Adipocytes
CYTH3	Adipocytes
FMO1	Adipocytes
ACADSB	Adipocytes
XDH	Adipocytes
RSPO3	Adipocytes
PTGES	Adipocytes
CREB3L1	Adipocytes
ANGPTL2	Adipocytes
ADAM12	Adipocytes
ADH1	Adipocytes
LBP	Adipocytes
NMB	Adipocytes
RARRES2	Adipocytes
FST	Adipocytes
EGFR	Adipocytes
CPXM1	Adipocytes
C3	Adipocytes
ADAMTS5	Adipocytes
TIMP1	Adipocytes
METRN	Adipocytes
METRNL	Adipocytes
MYO1C	Adipocytes
NQO1	Adipocytes
SYAP1	Adipocytes
CRNDE	Adipocytes
AQP5	Adipocytes
TSPO	Adipocytes
AZGP1	Adipocytes
LRP1	Adipocytes
PDE3B	Adipocytes
LGALS12	Adipocytes
SERPINF1	Adipocytes
CPT1B	Adipocytes
ELOVL3	Adipocytes
PPARGC1A	Adipocytes
MPZL1	Adipocytes
CITED1	Adipocytes
DPT	Adipocytes
HOXC9	Adipocytes
ESM1	Adipocytes
TH	Adrenergic neurons
DDC	Adrenergic neurons
DBH	Adrenergic neurons
PNMT	Adrenergic neurons
SLC18A2	Adrenergic neurons
NPFF	Adrenergic neurons
SLC12A7	Adrenergic neurons
SYT1	Adrenergic neurons
AQP1	Airway epithelial cells
ADH7	Airway epithelial cells
CDH1	Airway epithelial cells
SEC14L3	Airway epithelial cells
MUC5B	Airway goblet cells
MUC16	Airway goblet cells
LTF	Airway goblet cells
SCGB3A1	Airway goblet cells
DCPP1	Airway goblet cells
DMBT1	Airway goblet cells
WFDC18	Airway goblet cells
DCPP3	Airway goblet cells
LIPF	Airway goblet cells
DCPP2	Airway goblet cells
MSLN	Airway goblet cells
AGR2	Airway goblet cells
GP2	Airway goblet cells
PIGR	Airway goblet cells
TFF2	Airway goblet cells
AQP5	Airway goblet cells
CBR2	Airway goblet cells
QSOX1	Airway goblet cells
FXYD3	Airway goblet cells
SEC23B	Airway goblet cells
CEACAM1	Airway goblet cells
GOLPH3	Airway goblet cells
GGH	Airway goblet cells
GALNT5	Airway goblet cells
GALNT6	Airway goblet cells
MUC5AC	Airway goblet cells
MUC4	Airway goblet cells
MUC20	Airway goblet cells
SPDEF	Airway goblet cells
DUSP4	Airway goblet cells
NOG	Airway smooth muscle cells
ACTA2	Airway smooth muscle cells
FOXF1	Airway smooth muscle cells
GATA5	Airway smooth muscle cells
GCG	Alpha cells
TTR	Alpha cells
GLP1R	Alpha cells
ARX	Alpha cells
POU3F4	Alpha cells
NKX2-2	Alpha cells
RESP18	Alpha cells
PYY	Alpha cells
PCSK2	Alpha cells
SLC38A5	Alpha cells
TM4SF4	Alpha cells
CRYBA2	Alpha cells
NKX6-1	Alpha cells
KCNK16	Alpha cells
PCSK1	Alpha cells
PRRG2	Alpha cells
IRX2	Alpha cells
ALDH1A1	Alpha cells
PEMT	Alpha cells
CHGA	Alpha cells
SMIM24	Alpha cells
F10	Alpha cells
SCGN	Alpha cells
SLC30A8	Alpha cells
SH3GL2	Alpha cells
FAP	Alpha cells
DPP4	Alpha cells
GPR119	Alpha cells
MAFB	Alpha cells
PAX6	Alpha cells
NEUROD1	Alpha cells
LOXL4	Alpha cells
PLCE1	Alpha cells
GC	Alpha cells
KLHL41	Alpha cells
FEV	Alpha cells
PTGER3	Alpha cells
RFX6	Alpha cells
SMARCA1	Alpha cells
PGR	Alpha cells
LDB2	Alpha cells
IRX1	Alpha cells
UCP2	Alpha cells
FXYD5	Alpha cells
RGS4	Alpha cells
GLS	Alpha cells
CHIL3	Alveolar macrophages
PLET1	Alveolar macrophages
IL1B	Alveolar macrophages
WFDC21	Alveolar macrophages
BGLAP3	Alveolar macrophages
CCL3	Alveolar macrophages
G0S2	Alveolar macrophages
CXCL2	Alveolar macrophages
MCEMP1	Alveolar macrophages
KLHDC4	Alveolar macrophages
BCL2A1D	Alveolar macrophages
GDA	Alveolar macrophages
CLEC7A	Alveolar macrophages
BCL2A1B	Alveolar macrophages
ITGAX	Alveolar macrophages
TNFAIP2	Alveolar macrophages
CD36	Alveolar macrophages
GAL	Alveolar macrophages
CAR4	Alveolar macrophages
EAR2	Alveolar macrophages
TLR2	Alveolar macrophages
GPNMB	Alveolar macrophages
MRC1	Alveolar macrophages
LYZ1	Alveolar macrophages
MARCO	Alveolar macrophages
CSF2RB	Alveolar macrophages
MPP1	Alveolar macrophages
TRIM25	Alveolar macrophages
EAR1	Alveolar macrophages
OLR1	Alveolar macrophages
S100A4	Alveolar macrophages
GNGT2	Alveolar macrophages
SIGLECF	Alveolar macrophages
AGA	Anterior pituitary gland cells
ANGPT1	Anterior pituitary gland cells
CHGA	Anterior pituitary gland cells
CPEB4	Anterior pituitary gland cells
GH	Anterior pituitary gland cells
IGSF1	Anterior pituitary gland cells
MEST	Anterior pituitary gland cells
NKTR	Anterior pituitary gland cells
NUCB2	Anterior pituitary gland cells
PITX2	Anterior pituitary gland cells
POU1F1	Anterior pituitary gland cells
PRL	Anterior pituitary gland cells
RAB27A	Anterior pituitary gland cells
RCN3	Anterior pituitary gland cells
SEZ6L2	Anterior pituitary gland cells
SIX6	Anterior pituitary gland cells
TBRG1	Anterior pituitary gland cells
TMEM130	Anterior pituitary gland cells
POMC	Anterior pituitary gland cells
GMPPA	Anterior pituitary gland cells
TRIM30B	Anterior pituitary gland cells
GNB3	Anterior pituitary gland cells
HEPACAM2	Anterior pituitary gland cells
ASB4	Anterior pituitary gland cells
RAX	Anterior pituitary gland cells
NKX2-1	Anterior pituitary gland cells
FGF10	Anterior pituitary gland cells
FSHB	Anterior pituitary gland cells
PCSK1	Anterior pituitary gland cells
GNRHR	Anterior pituitary gland cells
PITX1	Anterior pituitary gland cells
TSHB	Anterior pituitary gland cells
PAX7	Anterior pituitary gland cells
LHB	Anterior pituitary gland cells
S100B	Astrocytes
SLC1A2	Astrocytes
GFAP	Astrocytes
BYSL	Astrocytes
ALDH1L1	Astrocytes
CD40	Astrocytes
SLC1A3	Astrocytes
FGFR3	Astrocytes
GJB6	Astrocytes
AQP4	Astrocytes
HTRA1	Astrocytes
S100A8	Astrocytes
CLDN10	Astrocytes
ITIH3	Astrocytes
NKAIN4	Astrocytes
ACSL6	Astrocytes
ACSBG1	Astrocytes
TRIL	Astrocytes
AGT	Astrocytes
GPR37L1	Astrocytes
SLC4A4	Astrocytes
NTSR2	Astrocytes
SLC6A11	Astrocytes
